Movie	Month	Day	Release Year	Budget($M)	Domestic Gross($M)	Worldwide Gross($M)	Score
Avatar	Dec	18	2009	425	760.507625	2783.918982	83
Titanic	Dec	19	1997	200	658.672302	2207.615668	88
Star Wars Ep. VII: The Force Awakens	Dec	18	2015	306	936.662225	2058.662225	93
Jurassic World	Jun	12	2015	215	652.19801	1670.328025	71
The Avengers	May	4	2012	225	623.279547	1519.479547	92
Furious 7	Apr	3	2015	190	351.03291	1514.019071	80
Avengers: Age of Ultron	May	1	2015	250	459.005868	1404.705868	75
Harry Potter and the Deathly Hallows: Part II	Jul	15	2011	125	381.011219	1341.511219	96
Frozen	Nov	22	2013	150	400.738009	1274.23498	90
Iron Man 3	May	3	2013	200	408.992272	1215.392272	80
Minions	Jul	10	2015	74	336.04577	1163.624481	56
Captain America: Civil War	May	6	2016	250	408.084349	1151.684349	91
The Lord of the Rings: The Return of the King	Dec	17	2003	94	377.845905	1141.408667	93
Transformers: Dark of the Moon	Jun	29	2011	195	352.390543	1123.790543	35
Skyfall	Nov	8	2012	200	304.360277	1110.526981	92
Transformers: Age of Extinction	Jun	27	2014	210	245.439076	1104.039076	18
The Dark Knight Rises	Jul	20	2012	275	448.139099	1084.439099	87
Toy Story 3	Jun	18	2010	200	415.00488	1069.818229	99
Pirates of the Caribbean: Dead Man's Chest	Jul	7	2006	225	423.315812	1066.215812	54
Pirates of the Caribbean: On Stranger Tides	May	20	2011	250	241.063875	1045.663875	32
Jurassic Park	Jun	11	1993	63	395.708305	1038.812584	92
Star Wars Ep. I: The Phantom Menace	May	19	1999	115	474.544677	1027.044677	55
Alice in Wonderland	Mar	5	2010	200	334.19111	1025.49111	52
Zootopia	Mar	4	2016	150	341.268248	1021.768248	98
The Hobbit: An Unexpected Journey	Dec	14	2012	250	303.003568	1017.003568	64
The Dark Knight	Jul	18	2008	185	533.345358	1002.891358	94
The Lion King	Jun	15	1994	79.3	422.78014	987.48014	93
Finding Dory	Jun	17	2016	200	484.434568	985.234568	94
Despicable Me 2	Jul	3	2013	76	368.065385	974.873764	74
Harry Potter and the Sorcerer‰Ûªs Stone	Nov	16	2001	125	317.57555	974.755371	80
The Jungle Book	Apr	15	2016	175	364.001123	963.901123	95
Pirates of the Caribbean: At World's End	May	24	2007	300	309.420425	963.420425	45
The Hobbit: The Desolation of Smaug	Dec	13	2013	250	258.366855	960.366855	73
Harry Potter and the Deathly Hallows: Part I	Nov	19	2010	125	295.983305	960.283305	78
The Hobbit: The Battle of the Five Armies	Dec	17	2014	250	255.119788	955.119788	59
Harry Potter and the Order of the Phoenix	Jul	11	2007	150	292.004738	942.943935	78
Shrek 2	May	19	2004	70	441.226247	937.008132	88
Finding Nemo	May	30	2003	94	380.52937	936.42937	99
Harry Potter and the Half-Blood Prince	Jul	15	2009	250	301.959197	935.083686	84
The Lord of the Rings: The Two Towers	Dec	18	2002	94	342.548984	934.703179	95
Harry Potter and the Goblet of Fire	Nov	18	2005	150	290.013036	896.911078	88
Spider-Man 3	May	4	2007	258	336.530303	890.875303	63
The Lord of the Rings: The Fellowship of the Ring	Dec	19	2001	109	315.54475	887.217688	91
Ice Age: Continental Drift	Jul	13	2012	95	161.321843	879.765137	38
Spectre	Nov	6	2015	300	200.074175	879.620923	63
Harry Potter and the Chamber of Secrets	Nov	15	2002	100	261.98788	878.979634	82
Batman v Superman: Dawn of Justice	Mar	25	2016	250	330.360194	868.160194	27
The Hunger Games: Catching Fire	Nov	22	2013	130	424.668047	864.868047	89
Ice Age: Dawn of the Dinosaurs	Jul	1	2009	90	196.573705	859.701857	46
Inside Out	Jun	19	2015	175	356.461711	853.923085	98
